"","ticker","tradeDate","clsPx","hiPx","loPx","open","stockVolume","unadjClsPx","unadjHiPx","unadjLoPx","unadjOpen","unadjStockVolume","updatedAt"
"4105","SPX",2022-04-25,4296.12,4298.02,4200.82,4255.34,0,4296.12,4298.02,4200.82,4255.34,0,"2022-04-25T23:30:58Z"
"4106","SPX",2022-04-26,4175.2,4278.14,4175.15,4278.14,0,4175.2,4278.14,4175.15,4278.14,0,"2022-04-26T23:30:58Z"
"4107","SPX",2022-04-27,4183.96,4240.71,4162.9,4186.52,0,4183.96,4240.71,4162.9,4186.52,0,"2022-04-27T23:26:12Z"
"4108","SPX",2022-04-28,4287.5,4308.45,4188.63,4222.58,0,4287.5,4308.45,4188.63,4222.58,0,"2022-04-28T23:26:40Z"
"4109","SPX",2022-04-29,4131.93,4269.68,4124.28,4253.75,0,4131.93,4269.68,4124.28,4253.75,0,"2022-04-29T23:26:45Z"
"4110","SPX",2022-05-02,4155.38,4169.81,4062.51,4130.61,0,4155.38,4169.81,4062.51,4130.61,0,"2022-05-02T23:27:54Z"
"4111","SPX",2022-05-03,4175.48,4200.1,4147.08,4159.78,0,4175.48,4200.1,4147.08,4159.78,0,"2022-05-03T23:27:44Z"
"4112","SPX",2022-05-04,4300.17,4307.66,4148.91,4181.18,0,4300.17,4307.66,4148.91,4181.18,0,"2022-05-04T23:26:57Z"
"4113","SPX",2022-05-05,4146.87,4270.43,4106.01,4270.43,0,4146.87,4270.43,4106.01,4270.43,0,"2022-05-05T23:27:29Z"
"4114","SPX",2022-05-06,4123.34,4157.69,4068.92,4128.17,0,4123.34,4157.69,4068.92,4128.17,0,"2022-05-06T23:27:02Z"
"4115","SPX",2022-05-09,3991.24,4081.27,3975.48,4081.27,0,3991.24,4081.27,3975.48,4081.27,0,"2022-05-09T23:28:07Z"
"4116","SPX",2022-05-10,4001.05,4068.82,3958.17,4035.18,0,4001.05,4068.82,3958.17,4035.18,0,"2022-05-10T23:28:09Z"
"4117","SPX",2022-05-11,3935.18,4047.95,3928.82,3990.08,0,3935.18,4047.95,3928.82,3990.08,0,"2022-05-11T23:27:16Z"
"4118","SPX",2022-05-12,3930.08,3963.09,3858.87,3903.95,0,3930.08,3963.09,3858.87,3903.95,0,"2022-05-12T23:28:06Z"
"4119","SPX",2022-05-13,4023.89,4038.88,3963.9,3963.9,0,4023.89,4038.88,3963.9,3963.9,0,"2022-05-13T23:27:22Z"
"4120","SPX",2022-05-16,4008.01,4046.46,3983.99,4013.02,0,4008.01,4046.46,3983.99,4013.02,0,"2022-05-16T23:30:44Z"
"4121","SPX",2022-05-17,4088.85,4090.72,4033.93,4052,0,4088.85,4090.72,4033.93,4052,0,"2022-05-17T23:28:14Z"
"4122","SPX",2022-05-18,3923.68,4051.98,3912.64,4051.98,0,3923.68,4051.98,3912.64,4051.98,0,"2022-05-18T23:25:49Z"
"4123","SPX",2022-05-19,3900.79,3945.96,3876.58,3899,0,3900.79,3945.96,3876.58,3899,0,"2022-05-19T23:27:14Z"
"4124","SPX",2022-05-20,3901.36,3943.42,3810.32,3927.76,0,3901.36,3943.42,3810.32,3927.76,0,"2022-05-20T23:28:06Z"
"4125","SPX",2022-05-23,3973.75,3981.88,3909.04,3919.42,0,3973.75,3981.88,3909.04,3919.42,0,"2022-05-23T23:28:26Z"
"4126","SPX",2022-05-24,3941.48,3955.68,3875.13,3942.94,0,3941.48,3955.68,3875.13,3942.94,0,"2022-05-24T23:26:54Z"
"4127","SPX",2022-05-25,3978.73,3999.33,3925.03,3929.59,0,3978.73,3999.33,3925.03,3929.59,0,"2022-05-25T23:29:34Z"
"4128","SPX",2022-05-26,4057.84,4075.14,3984.6,3984.6,0,4057.84,4075.14,3984.6,3984.6,0,"2022-05-26T23:35:33Z"
"4129","SPX",2022-05-27,4158.24,4158.49,4077.43,4077.43,0,4158.24,4158.49,4077.43,4077.43,0,"2022-05-27T23:32:09Z"
"4130","SPX",2022-05-31,4132.15,4168.34,4104.88,4143.25,0,4132.15,4168.34,4104.88,4143.25,0,"2022-05-31T23:27:19Z"
"4131","SPX",2022-06-01,4101.23,4166.54,4073.85,4149.78,0,4101.23,4166.54,4073.85,4149.78,0,"2022-06-01T23:28:35Z"
"4132","SPX",2022-06-02,4176.82,4176.9,4074.37,4095.41,0,4176.82,4176.9,4074.37,4095.41,0,"2022-06-02T23:33:54Z"
"4133","SPX",2022-06-03,4108.54,4142.67,4098.67,4137.57,0,4108.54,4142.67,4098.67,4137.57,0,"2022-06-03T23:28:58Z"
"4134","SPX",2022-06-06,4121.43,4168.78,4109.18,4134.72,0,4121.43,4168.78,4109.18,4134.72,0,"2022-06-06T23:27:45Z"
"4135","SPX",2022-06-07,4160.68,4164.86,4080.19,4096.47,0,4160.68,4164.86,4080.19,4096.47,0,"2022-06-07T23:27:17Z"
"4136","SPX",2022-06-08,4115.77,4159.94,4107.2,4147.12,0,4115.77,4159.94,4107.2,4147.12,0,"2022-06-08T23:27:04Z"
"4137","SPX",2022-06-09,4017.82,4119.1,4017.17,4101.65,0,4017.82,4119.1,4017.17,4101.65,0,"2022-06-09T23:29:16Z"
"4138","SPX",2022-06-10,3900.86,3974.39,3900.16,3974.39,0,3900.86,3974.39,3900.16,3974.39,0,"2022-06-10T23:29:19Z"
"4139","SPX",2022-06-13,3749.63,3838.15,3734.81,3838.15,0,3749.63,3838.15,3734.81,3838.15,0,"2022-06-13T23:26:50Z"
"4140","SPX",2022-06-14,3735.48,3778.18,3705.68,3763.52,0,3735.48,3778.18,3705.68,3763.52,0,"2022-06-14T23:29:19Z"
"4141","SPX",2022-06-15,3789.99,3837.56,3724.8,3764.05,0,3789.99,3837.56,3724.8,3764.05,0,"2022-06-15T23:28:48Z"
"4142","SPX",2022-06-16,3666.77,3728.18,3639.77,3728.18,0,3666.77,3728.18,3639.77,3728.18,0,"2022-06-16T23:32:05Z"
"4143","SPX",2022-06-17,3674.84,3707.71,3636.94,3665.9,0,3674.84,3707.71,3636.94,3665.9,0,"2022-06-17T23:28:48Z"
"4144","SPX",2022-06-21,3764.79,3779.65,3715.31,3715.31,0,3764.79,3779.65,3715.31,3715.31,0,"2022-06-21T23:27:51Z"
"4145","SPX",2022-06-22,3759.89,3801.79,3719.6,3733.89,0,3759.89,3801.79,3719.6,3733.89,0,"2022-06-22T23:28:51Z"
"4146","SPX",2022-06-23,3795.73,3802.58,3744.34,3774.71,0,3795.73,3802.58,3744.34,3774.71,0,"2022-06-23T23:29:08Z"
"4147","SPX",2022-06-24,3911.74,3913.65,3821.75,3821.75,0,3911.74,3913.65,3821.75,3821.75,0,"2022-06-24T23:30:25Z"
"4148","SPX",2022-06-27,3900.11,3927.72,3889.66,3920.76,0,3900.11,3927.72,3889.66,3920.76,0,"2022-06-27T23:28:09Z"
"4149","SPX",2022-06-28,3821.55,3944.87,3820.66,3913,0,3821.55,3944.87,3820.66,3913,0,"2022-06-28T23:26:52Z"
"4150","SPX",2022-06-29,3818.83,3836.5,3799.13,3825.09,0,3818.83,3836.5,3799.13,3825.09,0,"2022-06-29T23:29:38Z"
"4151","SPX",2022-06-30,3785.38,3818.99,3738.67,3785.99,0,3785.38,3818.99,3738.67,3785.99,0,"2022-06-30T23:29:14Z"
"4152","SPX",2022-07-01,3825.33,3829.82,3752.1,3781,0,3825.33,3829.82,3752.1,3781,0,"2022-07-01T23:29:34Z"
"4153","SPX",2022-07-05,3831.39,3832.19,3742.06,3792.61,0,3831.39,3832.19,3742.06,3792.61,0,"2022-07-05T23:28:22Z"
"4154","SPX",2022-07-06,3845.08,3870.91,3809.37,3831.98,0,3845.08,3870.91,3809.37,3831.98,0,"2022-07-06T23:28:47Z"
